[0.000000] (-) TimerEvent: {}
[0.000492] (41068_ignition_bringup) JobQueued: {'identifier': '41068_ignition_bringup', 'dependencies': OrderedDict()}
[0.170503] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/config/robot_localization.yaml\n'}
[0.170575] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/config/41068.rviz\n'}
[0.170633] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/config/gazebo_bridge.yaml\n'}
[0.170688] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/config/slam_params.yaml\n'}
[0.170769] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/config/nav2_params.yaml\n'}
[0.170829] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/config/husky_drone_bridge.yaml\n'}
[0.170913] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch\n'}
[0.170967] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/test_simple_drone.launch.py\n'}
[0.171062] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/husky_drone_urdf.launch.py\n'}
[0.171151] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_ignition.launch.py\n'}
[0.171385] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_navigation.launch.py\n'}
[0.171457] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/working_husky_drone.launch.py\n'}
[0.171633] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/simple_husky_drone.launch.py\n'}
[0.171708] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/husky_drone_simulation.launch.py\n'}
[0.171793] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/visual_husky_drone.launch.py\n'}
[0.171876] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models\n'}
[0.171960] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall\n'}
[0.172063] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/model.sdf\n'}
[0.172138] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials\n'}
[0.172237] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures\n'}
[0.172299] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures/forest_wall_transparent.png\n'}
[0.172356] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures/forest_wall.png\n'}
[0.172448] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/materials/textures/forest_wall_transparent_small.png\n'}
[0.172505] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall/model.config\n'}
[0.172610] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree\n'}
[0.172667] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/meshes\n'}
[0.172722] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/meshes/pine_tree.dae\n'}
[0.172779] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/model.sdf\n'}
[0.172835] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials\n'}
[0.172917] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/textures\n'}
[0.173048] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/textures/bark_diffuse.png\n'}
[0.173109] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/textures/branch_2_diffuse.png\n'}
[0.173172] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/scripts\n'}
[0.173488] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/scripts/pine_tree.material\n'}
[0.173578] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/scripts/caster_vp.glsl\n'}
[0.173647] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/materials/scripts/caster_fp.glsl\n'}
[0.173714] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/model.config\n'}
[0.173777] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/thumbnails\n'}
[0.173841] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/thumbnails/3.png\n'}
[0.173903] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/thumbnails/2.png\n'}
[0.173975] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/thumbnails/4.png\n'}
[0.174035] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/thumbnails/1.png\n'}
